bathrooms,furnished,price,bedrooms,utilities,longitude,date,roommate,pets,address,latitude,neighbourhood
1,0,2350,1,0,-123.37828,2018-01-19 2:24,0,1,379 Tyee Rd Victoria BC CA,48.431188,Victoria West
0,0,2150,0,0,-123.369211,2018-01-08 3:30,0,1,1315 Waddington Alley #102 Victoria BC CA,48.427202,Downtown
1,1,790,1,0,-123.321921,2018-01-19 3:54,0,0,1980 Argyle Ave Victoria BC CA,48.448492,
1,1,950,1,0,-123.334914,2018-01-19 5:47,0,0,2770-2700 Scott St Victoria BC CA,48.438139,Oaklands
0,0,2300,3,0,-123.351445,2018-01-19 5:50,1,1,1331 Finlayson St Victoria BC CA,48.447394,Hillside/Quadra
1,0,2800,2,0,-123.30611,2018-01-19 17:01,1,0,877-977 Byng St Victoria BC CA,48.419996,
1,0,1600,2,0,,2018-01-19 17:33,1,0,,,
1,0,1965,2,0,-123.409242,2018-01-19 17:57,0,0,2174 Amelia Ave Sidney BC CA,48.658991,
0,1,850,0,0,-123.343283,2018-01-05 2:57,0,0,1349 Grant Street Victoria BC CA,48.428529,Fernwood
2,0,2300,3,0,-123.33678,2018-01-20 6:40,0,0,Cedar Hill Rd Victoria BC CA,48.463332,
1,0,1000,1,0,,2018-01-20 16:04,0,0,,,
1,0,1500,2,0,-123.411268,2018-01-20 17:53,0,1,2134 Bradford ave Sidney BC CA,48.656378,
1,0,1500,2,0,-123.475036,2018-01-20 20:05,0,0,Goldstone Heights Victoria BC CA,48.452196,
0,0,1200,0,0,-123.375163,2018-01-20 21:25,1,0,425-475 Simcoe St Victoria BC CA,48.415953,James Bay
1.5,0,2350,2,0,-123.34729,2018-01-20 22:06,0,1,1301-1311 Rockland Ave Victoria BC CA,48.420805,Rockland
2,0,1600,2,0,-123.327615,2018-01-21 2:55,0,0,3547 Richmond Road Victoria BC CA,48.455625,
1,0,1450,1,0,-123.497395,2017-12-23 16:43,0,0,623 Treanor Ave Langford BC BC CA,48.464575,
1,0,1500,2,0,-123.29248,2018-01-21 14:08,0,0,3920-3910 Cherrilee Crescent Victoria BC CA,48.461682,
0,0,1650,0,0,-123.3658,2018-01-21 20:18,0,0,Sanich British Columbia CA,48.4777,
1,0,1800,2,0,-123.490256,2018-01-16 4:38,1,1,333-305 Sabina Pl Victoria BC CA,48.46663,
1,0,1100,1,0,-123.715858,2018-01-21 23:58,0,0,2081 Solent Rd N Sooke BC CA,48.481422,
1,0,1600,2,0,-123.352898,2018-01-22 0:10,0,0,3631-3651 Bridgeport Dr Victoria BC CA,48.459375,
2,0,2350,2,0,-123.391801,2018-01-22 2:40,0,1,Suffolk Street Victoria BC CA,48.431834,Victoria West
1,1,790,0,0,-123.356521,2018-01-22 4:37,0,0,Sutlej st at Cook st Victoria BC CA,48.414612,Fairfield
1,0,2000,1,1,-123.361966,2018-01-22 5:02,1,0,741 Johnson St Victoria BC CA,48.426887,Downtown
1,0,2250,3,1,-123.402746,2018-01-22 5:39,1,1,650 Head street Victoria BC CA,48.43239,
1,0,1225,1,1,-123.363961,2018-01-22 15:18,1,0,960 Inverness Rd Victoria BC CA,48.452641,
1,0,1125,1,1,,2018-01-05 5:02,0,0,,,
2,0,2000,2,0,-123.331556,2018-01-22 18:53,0,0,211 Robertson St Victoria BC CA,48.412047,Gonzales
1,0,2050,3,0,-123.344101,2018-01-22 19:53,1,1,3863 Epsom Dr Victoria BC CA,48.464745,
1,1,1100,1,1,-123.434754,2018-01-22 20:01,0,0,"7088 Wallace Drive, Brentwood Bay, BC V8M 1P4, Canada Brentwood Bay BC CA",48.576043,
0,0,1300,0,0,-123.418268,2018-01-19 20:33,0,0,Admirals Victoria BC CA,48.437097,
1,0,1300,2,0,-123.403044,2018-01-22 20:58,0,0,3235-3245 Admirals Rd Victoria BC CA,48.459668,
1,0,1100,1,0,-123.434764,2018-01-22 21:51,0,0,"7088 Wallace Drive, Brentwood Bay, BC V8M 1P4, Canada Brentwood Bay BC CA",48.5761,
2,0,3300,2,0,-123.361966,2018-01-22 22:25,0,0,741 Johnson St Victoria BC CA,48.426887,Downtown
2,0,4500,3,0,-123.382201,2018-01-22 22:28,1,0,740-730 Tyee Rd Victoria BC CA,48.435674,Victoria West
1,1,2550,1,0,-123.361966,2018-01-22 22:30,1,0,741 Johnson St Victoria BC CA,48.426887,Downtown
1,1,2550,1,0,-123.361966,2018-01-22 22:32,1,0,742 Johnson St Victoria BC CA,48.426887,Downtown
2,0,3300,2,0,-123.361838,2018-01-22 22:33,1,1,1107-760 Johnson St Victoria BC CA,48.426853,Downtown
1,0,3300,2,1,-123.362474,2018-01-22 22:33,1,0,502 760 Johnson St Victoria BC CA,48.427022,Downtown
1,0,3180,2,0,-123.361849,2018-01-22 22:34,1,1,1107-760 Johnson St Victoria BC CA,48.426881,Downtown
1,0,1375,1,0,-123.769312,2018-01-23 0:44,0,0,Juan de Fuca BC CA,48.393393,
1,0,1400,2,0,-123.3915,2018-01-23 0:59,0,0,803-823 Mann Ave Victoria BC CA,48.487532,
1,0,1500,2,0,-123.640918,2018-01-23 2:26,0,1,Thomson Terrace Duncan BC CA,48.794663,
0,0,1150,0,0,-123.393556,2018-01-13 21:27,0,0,Agnes Street at Raymond Street North Saanich BC CA,48.471892,
1,1,900,0,1,-123.374161,2018-01-23 2:43,0,0,456 BC-1A Victoria BC,48.440927,Burnside
1,0,1100,0,0,-123.377921,2018-01-23 2:45,0,0,Gorge Road East Victoria BC CA,48.442332,Burnside
1,0,1800,3,0,-123.345394,2018-01-23 3:36,1,0,1288-1272 Centre Rd Victoria BC CA,48.431934,Fernwood
1,0,1100,1,0,,2018-01-23 4:26,1,1,,,
1,1,700,1,0,-123.424079,2018-01-23 5:32,1,0,897 Admirals Rd Victoria BC CA,48.439302,
1,0,1700,2,0,-123.315483,2018-01-08 19:32,0,0,Southbound Henderson at Kendal Oak Bay BC CA,48.45247,
1,0,2700,3,0,-123.315269,2017-12-30 17:06,0,1,3423-3457 Henderson Rd Victoria BC CA,48.452989,
1,0,1395,1,0,-123.363136,2018-01-23 17:22,0,0,728 YATES STREET Victoria BC CA,48.426453,Downtown
1,0,1350,1,1,-123.333223,2017-12-29 17:36,0,0,2751 Shelbourne St Victoria BC CA,48.439507,North Jubilee
1,0,1950,1,0,-123.303349,2017-12-29 17:40,0,0,"2358 Esplanade, Victoria BC CA",48.434682,
1,0,1795,2,0,-123.41754,2017-12-27 21:21,0,0,7878 E Saanich Rd Saanichton BC CA,48.596339,
0,1,825,0,0,-123.362818,2018-01-23 21:00,0,0,759 Yates St Victoria BC CA,48.425798,Downtown
2,0,3250,2,0,-123.278961,2018-01-23 21:33,0,1,Arbutus Pl Victoria BC CA,48.458295,
1,0,925,1,0,-123.353686,2018-01-10 20:21,0,0,1035 North Park Street Victoria BC CA,48.429441,North Park
1,0,1600,2,0,,2018-01-23 23:04,0,0,,,
1,0,1500,2,0,-123.336115,2018-01-23 23:29,0,0,1521 san juan ave Victoria BC CA,48.486607,
2,0,1500,1,1,-123.603062,2018-01-24 5:50,0,0,3985 Cobblehill BC CA,48.688354,
2,0,1300,2,0,-123.507929,2018-01-24 6:32,0,0,2751 Raycroft Pl Victoria BC CA,48.452038,
0,1,750,0,0,,2018-01-24 8:29,0,0,,,
2,0,1800,4,0,-123.365053,2018-01-25 4:26,0,0,975 Falmouth victoria BC CA,48.461389,
3,0,4200,6,0,-123.325181,2018-01-25 4:52,0,0,Larchwood Dr Victoria BC CA,48.471897,
1,0,1250,2,1,-123.329514,2018-01-25 4:48,0,0,2300 Richmond Rd Victoria BC CA,48.432293,North Jubilee
