price,bedrooms,bathrooms,pets,furnished,address,latitude,longitude,date,roommate,utilities
1195,1,1,0,0,4077 Tuxedo drive Victoria BC CA,48.473786,-123.369473,2018-01-14 20:57,0,1
1000,1,1,0,1,Michigan at Oswego Victoria BC CA,48.418894,-123.377059,2018-01-03 21:21,0,1
1650,0,1,1,0,301 Beaumont Ave Victoria BC CA,48.452567,-123.439906,2018-01-15 3:07,0,1
1500,2,1,0,0,1272-1284 Mysty Woods Victoria BC CA,48.505119,-123.35459,2017-12-27 19:28,0,1
1500,2,1,0,0,2123-2157 Bradford Ave Sidney BC CA,48.656155,-123.411476,2018-01-15 6:17,0,1
875,1,1,0,1,2739 W Shawnigan Lake Rd Shawnigan Lake BC CA,48.6535,-123.668759,2018-01-12 4:20,0,0
1500,2,1,0,0,Goldstone Heights Victoria BC CA,48.452196,-123.475036,2018-01-15 18:52,0,0
1700,1,1,1,0,Wharf at Fort Victoria BC CA,48.425105,-123.369786,2018-01-15 18:54,0,1
1300,1,1,0,0,759 YATES STREET Victoria BC CA,48.425911,-123.362618,2018-01-15 19:22,0,1
1300,1,1,0,0,2 Field St Victoria BC CA,48.434799,-123.364632,2018-01-11 0:18,0,1
1350,2,1,0,0,2330 Cook Street Victoria BC CA,48.43424,-123.352775,2017-12-18 21:22,0,1
2700,3,2,0,0,1443 Tolmie Ave,48.450185,-123.34886,2018-01-15 23:01,0,1
2375,3,1,1,0,1641-1655 Chambers St Victoria BC CA,48.427711,-123.350307,2018-01-16 0:10,0,1
1600,2,1,0,0,,,,2018-01-16 0:52,0,1
1360,1,1,0,0,536-506 Vancouver St Victoria BC CA,48.417238,-123.358653,2018-01-13 17:26,0,1
1200,1,1,0,1,,,,2017-12-19 22:44,0,0
1200,1,1,0,1,,,,2018-01-16 2:45,0,1
2300,3,2,1,0,1338 Stelly's X Rd Saanich BC CA,48.580053,-123.442572,2017-12-18 17:02,0,1
1100,2,1,0,1,Grant Road Sooke BC CA,48.38317,-123.716816,2018-01-16 17:59,0,1
1900,2,1,1,0,,,,2018-01-16 20:03,0,1
1495,2,1,0,0,4019-4037 Quadra St Victoria BC CA,48.471368,-123.366794,2018-01-08 22:50,0,1
1800,2,1,0,0,709 Massie Rd Victoria BC CA,48.449361,-123.496449,2018-01-16 21:43,0,1
1000,1,1,1,0,405 Catherine St Victoria BC CA,48.430641,-123.38418,2018-01-16 22:58,0,1
1350,2,1,0,0,841 Esquimalt Road Victoria BC CA,48.431587,-123.397446,2018-01-16 23:08,0,0
1000,1,1,0,0,841 Esquimalt Road Victoria BC CA,48.431587,-123.397446,2018-01-16 23:10,0,0
